Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:22:57,25.0,male,berlin,Software Development,5.0,2.0,Senior,,"Javascript / Typescript, AWS, Docker",65000.0,,,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:23:11,59.0,male,berlin,Software Development,30.0,30.0,Senior,,"Kotlin, Java / Scala, SQL",69000.0,,69000.0,2000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,0.0,
24/11/2020 11:23:53,36.0,male,berlin,Software Development,17.0,2.0,Lead,,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,,65000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:25:03,38.0,male,berlin,Management & Leadership,18.0,4.0,Lead,ios,"Swift, AWS",80000.0,4000,80000.0,2000,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
24/11/2020 11:25:20,24.0,male,berlin,Operations & Support,6.0,3.0,Senior,kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,10000,63000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:25:32,37.0,male,berlin,Operations & Support,6.0,6.0,Middle,charles,,47400.0,1000,44000.0,1000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,
24/11/2020 11:25:35,,male,berlin,Operations & Support,14.0,5.0,Senior,,"Python, Go, AWS, Kubernetes, Docker",67000.0,7000,65000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:26:16,40.0,male,berlin,Management & Leadership,13.0,1.0,Senior,sql,Python,70000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,200
24/11/2020 11:26:59,29.0,male,berlin,Software Development,6.0,4.0,Lead,go,"Python, Go, AWS, Kubernetes, Docker",85000.0,5000,78000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1100
24/11/2020 11:27:34,31.0,male,berlin,Software Development,5.0,1.0,Middle,,Kotlin,65000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:27:39,29.0,female,berlin,Operations & Support,7.0,1.0,Middle,,Javascript / Typescript,45000.0,2000,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 11:27:49,39.0,male,berlin,Software Development,8.0,5.0,Senior,,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,,80000.0,,29,Full-time employee,Unlimited contract,English,51-100,Startup,No,30.0,
24/11/2020 11:28:12,27.0,male,berlin,Software Development,8.0,1.0,Middle,,,63000.0,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:28:14,33.0,male,berlin,Data & AI,5.0,4.0,Lead,python,"Python, R, Google Cloud, Docker",150000.0,80000,81000.0,4000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,1
24/11/2020 11:28:58,28.0,female,berlin,Other Roles,7.0,7.0,Middle,figma,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:29:18,30.0,male,berlin,Software Development,8.0,3.0,Senior,,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000.0,,72000.0,3500,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
24/11/2020 11:29:38,28.0,male,berlin,Software Development,5.0,1.0,Senior,,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000.0,,58000.0,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,
24/11/2020 11:29:55,38.0,male,berlin,Operations & Support,10.0,5.0,Senior,,"AWS, Kubernetes, Docker",70000.0,,65000.0,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,0.0,
24/11/2020 11:30:00,29.0,male,berlin,Software Development,7.0,2.0,Senior,react,Javascript / Typescript,72000.0,12000,63000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
24/11/2020 11:30:11,49.0,male,berlin,Software Development,15.0,15.0,Senior,,SQL,67000.0,1500,66000.0,,29,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:30:21,32.0,male,berlin,Software Development,10.0,5.0,Senior,,"AWS, Kubernetes",105000.0,,80000.0,,60,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,5000
24/11/2020 11:30:38,33.0,female,berlin,Software Development,12.0,5.0,Senior,,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000.0,35200,96000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:30:45,30.0,male,berlin,Software Development,6.0,3.0,Senior,,"Kotlin, AWS, Kubernetes, Docker",74000.0,15000,54000.0,54000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:31:01,48.0,male,berlin,Software Development,25.0,11.0,Senior,,"Kotlin, Java / Scala, SQL",75000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:31:38,28.0,female,berlin,Other Roles,5.0,1.0,Senior,,,60000.0,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:31:45,32.0,male,berlin,Software Development,3.0,1.0,Middle,,"AWS, Kubernetes, Docker",77000.0,,62000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:31:50,38.0,female,berlin,Software Development,12.0,6.0,Senior,,C/C++,70000.0,8000,63000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
24/11/2020 11:31:51,31.0,male,berlin,Software Development,7.0,3.0,Lead,,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,69000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:32:11,35.0,male,berlin,Software Development,10.0,7.0,Senior,,"Go, AWS, Kubernetes, Docker, Elixir",75000.0,,72000.0,15000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,500
24/11/2020 11:32:24,28.0,female,berlin,Other Roles,7.0,7.0,Middle,,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:32:28,29.0,female,berlin,Operations & Support,8.0,5.0,Senior,,,60000.0,,52000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
24/11/2020 11:32:48,32.0,male,berlin,Software Development,8.0,5.0,Senior,,"PHP, SQL, AWS, Kubernetes, Docker",65000.0,,60000.0,,30,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,
24/11/2020 11:32:57,44.0,male,berlin,Software Development,12.0,3.0,Senior,,"SQL, Go, Kubernetes, Docker",68000.0,,68000.0,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:33:08,,male,berlin,Software Development,,1.0,Senior,,,75000.0,,,,,Full-time employee,,English,,,No,0.0,
24/11/2020 11:33:33,35.0,male,munich,Software Development,11.0,3.0,Senior,,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,5000,65000.0,,29,Full-time employee,Unlimited contract,German,101-1000,Product,No,,2000
24/11/2020 11:33:45,33.0,male,munich,Operations & Support,15.0,4.0,Lead,,"AWS, Google Cloud, Azure, Docker",90000.0,10000,78000.0,85000,30,Full-time employee,Unlimited contract,,101-1000,Product,No,,
24/11/2020 11:33:46,29.0,male,berlin,Software Development,5.0,3.0,Senior,,"Java / Scala, AWS, Docker",75000.0,,58000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:33:51,66.0,male,munich,Software Development,40.0,4.0,Lead,,"Javascript / Typescript, Ruby, SQL",70000.0,,50000.0,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0.0,
24/11/2020 11:35:25,39.0,female,berlin,Software Development,10.0,10.0,Senior,,"Javascript / Typescript, SQL",70500.0,1000,68000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,500
24/11/2020 11:36:44,28.0,male,munich,Software Development,5.0,4.0,Senior,,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000.0,,56000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:37:39,34.0,male,munich,Software Development,5.0,5.0,Senior,,,73500.0,,70000.0,,27,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:37:52,34.0,male,munich,Software Development,13.0,3.0,Lead,.net,".NET, SQL",72000.0,72000,60000.0,60000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,32.0,
24/11/2020 11:38:10,32.0,male,munich,Software Development,7.0,5.0,Senior,,"Javascript / Typescript, Java / Scala",62000.0,,60000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 11:38:14,38.0,male,stuttgart,Other Roles,15.0,5.0,Lead,hardware,,83000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:38:15,32.0,male,berlin,Data & AI,10.0,10.0,Head,,,110000.0,30000,85000.0,15000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
24/11/2020 11:38:22,45.0,male,schleswig-holstein,Software Development,26.0,18.0,Senior,,"C/C++, .NET, SQL",93000.0,10000,93000.0,11000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:39:21,48.0,male,london,Data & AI,23.0,0.0,,google,"Python, SQL, Go, Google Cloud, bash",110000.0,,,,,Company Director,Temporary contract,English,up to 10,Personal Ltd,Yes,,
24/11/2020 11:40:04,28.0,male,berlin,Software Development,3.0,2.0,Middle,js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000.0,,42000.0,,22,Full-time employee,Unlimited contract,English,11-50,Startup,No,24.0,
24/11/2020 11:40:05,29.0,male,konstanz,Software Development,6.0,3.0,Middle,android,Kotlin,53000.0,,53000.0,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,20.0,
24/11/2020 11:40:24,36.0,male,munich,Software Development,15.0,3.0,Senior,,PHP,55000.0,,55000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
24/11/2020 11:40:42,39.0,male,berlin,Software Development,10.0,2.0,Senior,,"Javascript / Typescript, .NET, SQL, Azure, Docker",75000.0,,65000.0,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
24/11/2020 11:40:45,29.0,male,munich,Software Development,7.0,3.0,Senior,,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000.0,5000,72000.0,2500,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
24/11/2020 11:42:49,31.0,male,berlin,Management & Leadership,11.0,6.0,Lead,,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000.0,,79000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,40.0,200
24/11/2020 11:43:28,30.0,male,berlin,Software Development,5.0,5.0,Middle,,,55000.0,,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:43:34,30.0,male,munich,Operations & Support,8.0,2.0,Middle,,,70200.0,75000,63000.0,63000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:43:49,33.0,male,frankfurt,Software Development,4.0,0.0,Middle,,,50000.0,,,,24,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,
24/11/2020 11:44:00,27.0,male,berlin,Software Development,5.0,1.0,Senior,scala,Java / Scala,78000.0,,70000.0,,30,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
24/11/2020 11:44:02,26.0,female,munich,Data & AI,6.0,2.0,Middle,,"Python, C/C++, SQL, Docker",60000.0,10000,60000.0,60000,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:44:10,26.0,male,berlin,Software Development,8.0,3.0,Lead,,"Python, PHP, Javascript / Typescript, Go, Google Cloud, Kubernetes, Docker",85000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:44:18,31.0,female,berlin,Data & AI,6.0,2.0,Middle,,Python,60000.0,,50000.0,500,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,500
24/11/2020 11:44:34,30.0,male,berlin,Software Development,10.0,2.0,Senior,,"Python, Java / Scala, AWS, Docker",72000.0,,70000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:44:51,38.0,male,berlin,Other Roles,17.0,3.0,Middle,,,68500.0,30000,62400.0,122000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,8000
24/11/2020 11:44:59,43.0,male,berlin,Software Development,5.0,3.0,Senior,,"Kotlin, Java / Scala",72000.0,,68000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:45:28,33.0,male,berlin,Software Development,5.0,1.0,Middle,,Kubernetes,65000.0,,65000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
24/11/2020 11:45:31,31.0,male,berlin,Software Development,9.0,,Senior,,"Python, .NET, AWS, Azure, Kubernetes, Docker",60000.0,,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:46:15,32.0,female,berlin,Operations & Support,10.0,,Senior,,"Kotlin, Javascript / Typescript, SQL, Docker",61000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:46:16,24.0,male,berlin,Data & AI,4.0,2.0,Senior,,"Python, AWS, Docker",73000.0,73000,50000.0,50000,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,
24/11/2020 11:46:21,29.0,male,berlin,Operations & Support,7.0,1.0,Lead,,"Python, Go, AWS, Kubernetes",78000.0,10000,70000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:46:42,29.0,male,berlin,Data & AI,4.0,4.0,Senior,,"SQL, AWS, Docker",81000.0,,72000.0,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
24/11/2020 11:46:48,30.0,male,munich,Other Roles,5.0,5.0,Senior,vhdl,Python,75000.0,10000,73000.0,8000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:48:46,35.0,female,berlin,Data & AI,3.0,2.0,Middle,power,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,3000,45000.0,,31,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:48:57,27.0,female,hamburg,Other Roles,6.0,1.0,Senior,,,50000.0,,,,28,Full-time employee,Temporary contract,English,101-1000,Product,No,,
24/11/2020 11:49:06,32.0,female,berlin,Management & Leadership,8.0,8.0,No level,,,55000.0,,,,27,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
24/11/2020 11:49:42,33.0,male,munich,Operations & Support,5.0,1.0,Senior,,Docker,60000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:50:04,28.0,male,berlin,Software Development,8.0,3.0,Lead,,"Python, Javascript / Typescript, .NET, SQL, AWS, Azure, Kubernetes, Docker",80000.0,,72000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:50:47,31.0,female,munich,Management & Leadership,14.0,7.0,Middle,none,,80000.0,,80000.0,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:50:51,32.0,male,munich,Software Development,7.0,3.0,Senior,,Kotlin,60000.0,,60000.0,,38,Full-time employee,Unlimited contract,English,51-100,Product,No,40.0,
24/11/2020 11:50:52,30.0,male,berlin,Software Development,8.0,2.5,Senior,,"Python, Kotlin, Java / Scala, SQL, Kubernetes, Docker",80000.0,,60000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:50:56,26.0,male,munich,Software Development,7.0,,Senior,,,78000.0,4000,61000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:51:35,31.0,male,munich,Software Development,10.0,2.0,Senior,,"Python, Javascript / Typescript, SQL, Kubernetes, Docker",68000.0,,68000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:52:49,38.0,female,munich,Operations & Support,6.0,2.0,Middle,,,62000.0,,62000.0,,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:53:56,37.0,male,berlin,Software Development,10.0,3.0,Senior,,"PHP, Javascript / Typescript, SQL",55000.0,,55000.0,,26,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:54:06,25.0,male,munich,Software Development,3.0,1.0,Middle,,"Python, SQL, AWS, Azure, Kubernetes, Docker",62000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:54:18,36.0,male,berlin,Software Development,12.0,4.0,Senior,,"Javascript / Typescript, AWS, Docker",72000.0,,72000.0,,26,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 11:54:32,27.0,male,munich,Operations & Support,5.0,1.0,Senior,swift,"Kotlin, Ruby",58000.0,5800,58000.0,101,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:55:06,35.0,male,frankfurt,Data & AI,12.0,10.0,Senior,ml,"Python, Java / Scala, R, SQL, AWS, Azure",120000.0,30000,90000.0,30000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
24/11/2020 11:55:07,37.0,male,munich,Software Development,15.0,2.0,Senior,,"PHP, Javascript / Typescript, SQL, Docker",75000.0,,72500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,200
24/11/2020 11:55:33,26.0,male,munich,Data & AI,3.0,2.0,Middle,,"Python, SQL, AWS, Docker",65000.0,7000,52000.0,300,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:55:57,33.0,male,frankfurt,Software Development,6.0,6.0,Middle,,"SQL, AWS, Google Cloud, Kubernetes, Docker",85000.0,40000,78000.0,7000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:56:00,34.0,male,berlin,Software Development,7.0,1.0,Senior,,Docker,65000.0,,,,25,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
24/11/2020 11:56:05,33.0,male,berlin,Software Development,12.0,6.0,Lead,,"Javascript / Typescript, SQL, AWS, Docker",65000.0,,60000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
24/11/2020 11:56:25,,male,berlin,Operations & Support,6.0,6.0,Middle,,"Javascript / Typescript, AWS",50000.0,,45000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
24/11/2020 11:56:47,29.0,male,berlin,Software Development,8.0,0.0,Senior,,"Java / Scala, AWS, Kubernetes, Docker",72000.0,,,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 11:56:56,24.0,male,munich,Software Development,5.0,2.0,Middle,,"Javascript / Typescript, Go",79000.0,56000,77000.0,33000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,900
24/11/2020 11:57:37,28.0,female,munich,Operations & Support,6.0,2.0,Middle,,,65000.0,3000,42000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1600
24/11/2020 11:57:53,30.0,female,berlin,Software Development,8.0,2.0,Senior,,"Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000.0,,65000.0,,35,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:57:55,28.0,male,cologne,Data & AI,8.0,1.0,Senior,,"Python, Javascript / Typescript",60000.0,12000,,,28,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,,1500
24/11/2020 11:58:24,31.0,male,munich,Software Development,11.0,1.0,Senior,,"Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",80000.0,4000,80000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:59:14,28.0,male,munich,Software Development,5.0,3.0,Senior,,Swift,57000.0,8000,70000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:59:20,32.0,female,kempten,Software Development,10.0,1.0,Middle,,"Javascript / Typescript, .NET, SQL",49000.0,,,,30,Full-time employee,Unlimited contract,English and German,51-100,Product,No,,
24/11/2020 11:59:33,28.0,male,berlin,Software Development,6.0,2.0,Senior,,"Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",65000.0,75000,60000.0,60000,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:59:38,26.0,female,munich,Data & AI,3.0,1.0,Junior,,"Python, AWS, Docker",70000.0,12000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:00:01,33.0,male,berlin,Software Development,6.0,4.0,Middle,,,63000.0,6300,60000.0,6000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,850
24/11/2020 12:00:20,41.0,male,munich,Management & Leadership,18.0,3.0,Middle,,,72000.0,,60000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:00:59,31.0,male,berlin,Software Development,9.0,1.0,Senior,,"Python, Javascript / Typescript, .NET, AWS, Azure, Kubernetes, Docker",60000.0,6000,,,25,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 12:01:01,30.0,male,munich,Software Development,6.0,1.0,Senior,,"Javascript / Typescript, AWS, Docker",75000.0,101,,,28,Full-time employee,Unlimited contract,English,51-100,Product,No,0.0,
24/11/2020 12:01:59,31.0,male,berlin,Software Development,8.0,1.0,Senior,,"Javascript / Typescript, Google Cloud, Docker",70000.0,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 12:02:04,37.0,male,munich,Software Development,12.0,4.0,Senior,,"Javascript / Typescript, Docker",62000.0,5000,60000.0,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,32.0,
24/11/2020 12:04:10,30.0,male,berlin,Software Development,10.0,5.0,Lead,,"Python, SQL",78000.0,1000,75000.0,1000,,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30.0,
